searchName,size,rotation,mapX,mapY
WATER ST.,26,0,1023,282
INNSMOUTH ST.,26,11,1760,261
MISKATONIC RIVER,34,0,1893,453
AYLESBURY ST.,26,0,277,435
RIVER ST.,26,-2,1177,557
MAIN ST.,26,-2,949,781
CHURCH ST.,26,-2,1135,1087
COLLEGE ST.,26,-2,1237,1505
PICKMAN ST.,26,-1,1247,1678
HIGH ST.,26,0,1245,1850
SALTONSTALL ST.,26,0,1244,2018
MISKATONIC AVE.,26,3,1217,2198
WASHINGTON ST.,26,2,1207,2334
CRANE ST.,26,0,686,1320
LICH ST.,26,-2,1732,1275
CEMETARY ST.,26,-1,2559,2475
HANGMAN'S BROOK,34,-1,776,2490
HILL ST.,26,-90,256,1931
BOUNDARY ST.,26,-87,529,1558
WEST ST.,26,-94,866,1371
GARRISON ST.,26,-91,1582,1601
PARSONAGE ST.,26,-93,1940,920
WALNUT ST.,26,-91,2087,1818
PEABODY AVE.,26,-92,2243,1824
POWDER HILL ST.,26,-91,2393,1671
FRENCH HILL ST.,26,-90,2500,1676
SENTINEL HILL ST.,26,-91,2620,1683
EAST ST.,26,-95,2756,1678
