streetNumber,region,mapX,mapY
1,NW,363,294
2,NW,266,588
3,NW,212,1224
4,NW,401,1108
5,NW,610,1114
6,NW,731,1218
7,NW,771,516
8,NW,909,334
9,NW,965,629
10,NW,1153,767
11,NW,1341,221
12,NW,1574,283
13,NW,1911,212
14,NW,2059,353
15,NW,2321,239
16,NW,401,1390
17,NW,989,1107
18,NW,1178,600
19,NW,1063,832
20,NW,479,744
21,NW,667,406
22,NW,660,205
23,NW,344,746
24,NW,429,947
25,NW,213,470
1,NE,2991,249
2,NE,3145,332
3,NE,2734,543
4,NE,2985,741
5,NE,3127,926
6,NE,3125,674
7,NE,2939,425
8,NE,2851,743
9,NE,2840,258
10,NE,2838,499
1,WC,235,1797
2,WC,756,1782
3,WC,1087,1801
4,WC,1112,1618
5,WC,1274,1843
6,WC,1478,2053
7,WC,1105,2174
8,WC,314,3030
9,WC,230,2296
10,WC,695,2279
11,WC,488,2425
12,WC,444,2645
13,WC,603,2588
14,WC,209,2807
15,WC,398,2489
16,WC,349,1996
17,WC,393,2172
18,WC,854,2019
19,WC,1186,2047
20,WC,1384,1994
21,WC,1383,1804
22,WC,1115,2343
23,WC,837,2242
24,WC,278,2487
25,WC,737,1983
1,EC,2017,1270
2,EC,2285,1063
3,EC,2275,1240
4,EC,1975,1550
5,EC,1701,1494
6,EC,1632,1347
7,EC,1925,1089
8,EC,2100,895
9,EC,1577,915
10,EC,1620,1009
11,EC,1522,1631
12,EC,1651,1899
13,EC,1823,2061
14,EC,2035,1727
15,EC,2174,767
16,EC,2315,838
17,EC,2007,852
18,EC,1794,909
19,EC,1796,1308
20,EC,1484,1179
21,EC,1555,1074
22,EC,2329,1428
23,EC,2138,1223
24,EC,2014,1173
25,EC, 2111,1495
1,SW,1630,2253
2,SW,1293,2454
3,SW,1545,2602
4,SW,840,3127
5,SW,1180,3196
6,SW,1496,3088
7,SW,1407,2703
8,SW,1760,2326
9,SW,1205,3015
10,SW,1052,2607
11,SW,1323,2340
13,SW,848,2867
14,SW,705,3138
15,SW,515,3135
16,SW,719,2886
17,SW,1052,3160
18,SW,1433,2930
19,SW,1231,2671
20,SW,1564,2375
1,SE,2293,2036
2,SE,2390,2385
3,SE,2348,2622
4,SE,2191,2901
5,SE,1693,2817
6,SE,2242,3213
7,SE,2402,3095
8,SE,2653,2916
9,SE,2695,1989
10,SE,2830,2158
11,SE,3056,1924
12,SE,3174,2097
13,SE,2085,2953
14,SE,3005,2552
15,SE,3008,2748
16,SE,3115,2900
17,SE,2733,2561
18,SE,2735,2711
19,SE,2395,2880
20,SE,2913,2903
21,SE,2224,2284
22,SE,2426,2319
23,SE,2291,2470
